,Wollen Sie uns noch etwas mitteilen?
4,Nettes Personal!
7,schön vorbereitet
9,Die Praktikantin war nett und die andere Frau war hübsch :)
10,Es war sehr hilfreich.
13,NÖ
14,"Ich konnte keinen Bibliotheks-Ausweis erwerben, weil ich meinen Personalausweis nicht dabei hatte. Unverschämtheit! "
15,"Die Schulung war interessant, bloß konnte ich nicht so viel für mich persönlich mitnehmen."
16,Zu Wild Grrr
22,nö
23,Ciao bella
24,wühlmaus knopfauge lange nase
25,Super teil
27,gut
28,"war gut 

"
30,Gracias
35,Hallo
40,war ok
41,Vielen Dank für die Einführung :)
45,nein
47,nö
50,:)
51,hat uns gefreut
53,Vergleichen der Aufgaben ging sehr lang
55,"Es war sehr interessant und informativ, danke :)"
56,nein
69,Es war sehr informativ und hilft mir in meinem Leben weiter.
72,"Ein längeren Rundgang wäre echt hilfreich um sich zu orientieren. peace and love, di biliboys"
73,döner
74,danke
75,"Bitte siezen Sie keine Kinder, jetzt fühl ich mich alt.
"
77,"Das Siezen hat mich verwirrt, sonst gut."
78,Moin und danke :)
79,sehr nice unterhaltung 
81,esspause
85,jonathan
86,Guten Rutsch
89,danke! :)
98,Sehr nette Beratung!
100,B
101,Die Leiterin war sehr nett und hat uns das Klo gezeigt
104,nö
106,nein
109,war stramm 
110,Bei Gruppe 3 Artikel anstatt Aufsätze in die Fragestellung schreiben
112,war supi
113,Die Frau Müller war eine sehr kompetente Anleitung!
115,Sheeeesh
127,ich bin micha aka markus
129,gute arbeit kollege
130,"Die Schulung war sehr gut, ich werde in Zukunft öfter vorbeikommen!"
131,Dankeschön
139,nein
154,Es war sehr informativ! Vielen Dank!
155,freundlicher und mehr geduld
156,es war schön hier
157,Super toll erklärt.
161,Meine Antwort
162,Meine Antwort : 10/10 would recommend
164,Sehr gut!
170,sehr interessant gestaltet
171,lädt...
172,Jo kann man machen
173,Toiletten sind schwer zu finden und nicht sauber
176,sehr gut
180,nein
181,"Sehr nettes Personal, tolles Online-Angebot, Anordnung von Büchern ein bisschen verwirrend "
186,sauwa gschafft
189,nö
192,suuuuuper! gaaaanz toll!
195,Sehr nette Dame.
197,"Nein, bleibt so wie ihr seid, hat alles gepasst"
202,Im Großen und ganzen super toll
203,"schulung im allgemeinen war gut. zeit mäßig auch nicht zu lang aber dennoch informativ! die menti umfragen haben spaß gemacht, super"
210,Die Quizze haben mir sehr gefallen.
211,Theoretischen Teil etwas kürzer gestalten.
212,ich fands super langweilig und bin fast eingeschlafen xD
214,Super Bibliothek die ich in der Zukunft bestimmt oft besuchen werde. Die Führung war super
217,Frau Holy war total nett!
218,Haben Sie toll gemacht Frau Holy! :)
219,"Es hat mega gefallen! Habe es in Betracht nicht mitzukommen, hätte es aber schwer bereut! Unfassbar gute Führung und würde es weiterempfehlen! <3"
220,Durch die Schulung fühle ich mich für Präsentationen und Recherchen gut gewappnet.
222,Dankeschön
226,super gemacht ;)
227,Die Moderatorin war sympathisch und cool
234,lieber kahoot als menti
245,"Nein, dies möchte ich nicht tun."
250,ajo
252,nein.
253,Das meiste ist im Internet auffindbar 
256,wohl eher 2+
264,ne
282,ich bedanke mich bei Ihnen für Ihre Mühe unnd Zeit 
285,"Es war für mich ein Ehre, mich heute zur Präsentation Ihrer Bibliothek begrüßen zu dürfen und freue mich drauf, Mitglied zu werden."
291,Sehr freundlich 
293,raucherpause bitte 
294,"Sehr nette Atmosphäre, flüssiger und angenehmer Vortrag, sehr informativ und an die Zielgruppe angepasst. Super!"
295,"super gemacht, weiter so ! VIELEN DANK :)"
298,es war gut 
309,Bitte statten Sie die Laptops in Zukunft mit externen Mäusen aus.
310,Als Lehrer begeistert
315,Nö
319,"Zettel, wo nochmal alles grob zusammengefasst wird."
322,War sehr interessant und hilfreich
323,Mit etwas mehr Energie präsentieren. 
326,Es sollte mehr Aufgaben zum Zurechtfinden im Gebäude geben. An der Freundlichkeit des Personals sollte gearbeitet werden
327,Die Besprechung der Gruppenaufträge war etwas zu schnell. Vor allem wenn man sich nicht mit dem Thema beschäftigt hat.
329,Der Rundgang hat mir sehr gefallen :)
333,Nette Schulungsleiterin und eine angenehme Führung / Schulung insgesamt
334,Der Rundgang war sehr cool!
335,Es war sehr interessant.
336,War super danke :)
340,danke
346,"Gut erklärt, sehr hilfreich für die Zukunft :)"
367,"schön gemacht , cr7 goat "
368,wenn man ein großes Interesse für die Bibliothek mitbringen würde wäre es bestimmt eine 1 gewesen :)
369,ronaldo goat
370,uff lock jetz glei kebabi fetze gehe
372,Bleiben sie so wie sie sind und immer weiter so !
373,hab durst
380,ganz gut gewesen
381,"Frau Müller war sehr nett zu Simon
"
383,Luca war hier 
384,Nein. Mit freundlichen Grüßen 
385,Neeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
396,Der Südwesten ist für immer Rot Weiß Rot!!!
399,nein
401,Sehr nützliche und interessante Infos :) 
402,Führung war gut
403,Sehr interessant gestaltet 
404,"Führung war gut, aber KSC ist nicht gut! (FORZA FCK)"
407,✔✔✔
408,kahoot wäre besser (als quiz)
409,Amogus
414,"War super , sehr nett und lehrreich!"
416,voll gut :)
418,Insta?
419,danke für ihre zeit
421,nein
422,blub
423,"
"
425,Etwas zu langweilig und das Publikum sollte mehr miteinbezogen werden. Periodt.
